title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Strawberry Orange Banana Smoothie,This orange juice smoothie with banana and strawberries is super refreshing!,5 mins,,5 mins,1,"['1 cup fresh strawberries', '¾ cup orange juice', '1  ripe banana', '1 cup ice cubes, or as needed']","['Blend strawberries, orange juice, banana, and ice in a blender until smooth and frothy.']","{'Calories': '238', 'Fat': '1g', 'Carbs': '58g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/215163/strawberry-orange-banana-smoothie/
Healthy Chocolate Smoothie,"This chocolate smoothie is naturally sweetened with bananas, so you don't have to add sugar to sweeten the cocoa. This healthy beverage is my go-to for a midday energy boost; the kids love it too!",10 mins,,10 mins,2,"['2  very ripe bananas', '1 cup milk', '6  ice cubes', '1 ½ tablespoons unsweetened cocoa powder', '1 tablespoon peanut butter', '1 teaspoon vanilla extract']","['Combine bananas, milk, ice cubes, cocoa powder, peanut butter, and vanilla in a blender; blend on high speed until smooth. Pour into 2 glasses.']","{'Calories': '229', 'Fat': '7g', 'Carbs': '37g', 'Protein': '8g'}",https://www.allrecipes.com/recipe/245061/healthy-chocolate-smoothie/
Healthy Berry and Spinach Smoothie,"This spinach berry smoothie is an easy way to get kids to eat their fruits and veggies. If you want a fruitier taste, exclude the yogurt.",10 mins,,10 mins,4,"['2 cups frozen berries', '1 cup plain yogurt', '½ cup orange juice', '¼ cup fresh spinach, or to taste', '5  strawberries']","['Blend berries, yogurt, orange juice, spinach, and strawberries together in a blender until smooth.']","{'Calories': '88', 'Fat': '1g', 'Carbs': '17g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/240726/healthy-berry-and-spinach-smoothie/
Kale and Banana Smoothie,"This kale smoothie with banana is perfect for those of us who have a hard time getting our daily dose of veggies! Nutrient-rich kale is hidden in this delicious, easy smoothie.",5 mins,,5 mins,1,"['2 cups chopped kale', '1  banana', '½ cup light unsweetened soy milk', '1 tablespoon flax seeds', '1 teaspoon maple syrup']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place kale, banana, soy milk, flax seeds, and maple syrup into a blender.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Cover and purée until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve over ice.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '311', 'Fat': '7g', 'Carbs': '57g', 'Protein': '12g'}",https://www.allrecipes.com/recipe/173730/kale-and-banana-smoothie/
20 Breakfast Smoothie Recipes to Start Your Day the Healthy Way,,,,,,[],[],,https://www.allrecipes.com/gallery/breakfast-smoothie-recipes/
"Banana, Avocado, and Spinach Smoothie","A quick and delicious banana, avocado, and spinach smoothie that can be used as a breakfast or snack!",10 mins,,10 mins,2,"['1  banana, sliced', '½  avocado, peeled and sliced', '½ cup fresh spinach', '½ cup 1% milk', '6  ice cubes', '2 teaspoons honey', '1 teaspoon vanilla extract']","['Blend banana, avocado, spinach, milk, ice cubes, honey, and vanilla together in a blender until smooth.']","{'Calories': '190', 'Fat': '8g', 'Carbs': '28g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/241365/banana-avocado-and-spinach-smoothie/
The Best Post-Workout Shake,"This is the best post-workout shake. It's delicious, nutritious, and filling — a perfect drink after a hard workout at the gym. I've been drinking it every morning for years after I finish my workout around 8 am, and I stay full until 11:30 am!",5 mins,,5 mins,1,"['1 scoop whey protein powder', '1 tablespoon flax seed meal', '1 tablespoon unsweetened cocoa powder', '1 teaspoon brown sugar (Optional)', '1 cup unsweetened almond milk', '½ cup frozen mixed berries', '1 medium banana', '1 tablespoon smooth peanut butter']","['Layer protein powder, flax meal, cocoa powder, and brown sugar in a blender. Add almond milk, frozen berries, banana, and peanut butter. Blend until smooth, about 1 minute.']","{'Calories': '493', 'Fat': '17g', 'Carbs': '67g', 'Protein': '29g'}",https://www.allrecipes.com/recipe/245163/the-best-post-workout-shake/
Kiwi Strawberry Smoothie,"This kiwi strawberry smoothie is full of tropical, fruity goodness!",5 mins,,5 mins,2,"['¾ cup pineapple and orange juice blend', '½ cup vanilla frozen yogurt', '1  banana', '6  strawberries', '1  kiwi']","['Place juice blend, frozen yogurt, banana, strawberries, and kiwi into a blender. Blend until smooth and pour into 2 glasses.']","{'Calories': '204', 'Fat': '1g', 'Carbs': '48g', 'Protein': '4g'}",https://www.allrecipes.com/recipe/77035/kiwi-strawberry-smoothie/
20 Easy Smoothie Recipes With 3 Ingredients or Less,Spend less time prepping ingredients and more time sipping on your favorite treat.,,,,,[],[],,https://www.allrecipes.com/gallery/easy-smoothie-recipes/
Orange Banana Smoothie,I recommend this orange and banana smoothie — it's filling enough to have for breakfast!,10 mins,,10 mins,2,"['1 cup cold milk', '½ cup vanilla fat-free yogurt', '¼ cup sugar', '1 pinch salt', '2 medium oranges, peeled and segmented', '1 medium banana', '4 cubes  ice']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Combine milk, yogurt, sugar, and salt in a blender. Add oranges and banana and blend for about 1 minute. Add ice and blend until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Serve and enjoy!\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '340', 'Fat': '3g', 'Carbs': '74g', 'Protein': '9g'}",https://www.allrecipes.com/recipe/32448/orange-banana-smoothie/
Simple Cantaloupe Smoothie,"This cantaloupe smoothie recipe is very simple. It is a sweet, healthy way to start your day with a delicious, unique flavor.",5 mins,,5 mins,1,"['1 cup vanilla yogurt (such as Dannon® Light and Fit®)', '½ cup orange juice', '½ cup sliced cantaloupe', '4  ice cubes, crushed, or as needed']","['Process yogurt, orange juice, cantaloupe, and ice cubes in a blender until smooth, about 30 seconds.']","{'Calories': '291', 'Fat': '4g', 'Carbs': '53g', 'Protein': '14g'}",https://www.allrecipes.com/recipe/238339/simple-cantaloupe-smoothie/
